namn,parti,krets
Said Abdu,Folkpartiet,Västra Götalands läns norra
Maria Abrahamsson,Moderaterna,Stockholms kommun
Amir Adan,Moderaterna,Stockholms kommun
Jeff Ahl,Sverigedemokraterna,Hallands län
Ann-Christin Ahlberg,Socialdemokraterna,Västra Götalands läns södra
Anders Ahlgren,Centerpartiet,Dalarnas län
Urban Ahlin,Socialdemokraterna,Västra Götalands läns östra
Janine Alm Ericson,Miljöpartiet,Västra Götalands läns norra
Jabar Amin,Miljöpartiet,Västerbottens län
Maria Andersson Willner,Socialdemokraterna,Västra Götalands läns norra
Erik Andersson,Moderaterna,Stockholms län
Jan R. Andersson,Moderaterna,Kalmar län
Johan Andersson,Socialdemokraterna,Östergötlands län
Jörgen Andersson,Moderaterna,Kalmar län
Magdalena Andersson,Socialdemokraterna,Stockholms län
Phia Andersson,Socialdemokraterna,Västra Götalands läns södra
Ulla Andersson,Vänsterpartiet,Gävleborgs län
Sofia Arkelsten,Moderaterna,Stockholms kommun
Maria Arnholm,Folkpartiet,Stockholms län
Beatrice Ask,Moderaterna,Stockholms kommun
Lena Asplund,Moderaterna,Västernorrlands län
Anti Avsan,Moderaterna,Stockholms län
Lennart Axelsson,Socialdemokraterna,Örebro län
Hanif Bali,Moderaterna,Stockholms län
Ibrahim Baylan,Socialdemokraterna,Stockholms län
Angelika Bengtsson,Sverigedemokraterna,Stockholms kommun
Finn Bengtsson,Moderaterna,Östergötlands län
Margareta Berg Kjellin,Moderaterna,Gävleborgs län
Ulf Berg,Moderaterna,Dalarnas län
Sten Bergheden,Moderaterna,Västra Götalands läns östra
Håkan Bergman,Socialdemokraterna,Örebro län
Hannah Bergstedt,Socialdemokraterna,Norrbottens län
Stina Bergström,Miljöpartiet,Värmlands län
Paula Bieler,Sverigedemokraterna,Kalmar län
Per Bill,Moderaterna,Uppsala län
Tobias Billström,Moderaterna,Malmö kommun
Sara-Lena Bjälkö,Sverigedemokraterna,Örebro län
Patrik Björck,Socialdemokraterna,Västra Götalands läns östra
Jan Björklund,Folkpartiet,Stockholms län
Ewa Björling,Moderaterna,Stockholms län
Carl-Oskar Bohlin,Moderaterna,Dalarnas län
Per Bolund,Miljöpartiet,Stockholms kommun
Helena Bouveng,Moderaterna,Jönköpings län
Catharina Bråkenhielm,Socialdemokraterna,Västra Götalands läns västra
Katarina Brännström,Moderaterna,Kronobergs län
Sven-Erik Bucht,Socialdemokraterna,Norrbottens län
Linus Bylund,Sverigedemokraterna,Skåne läns norra och östra
Mattias Bäckström Johansson,Sverigedemokraterna,Västernorrlands län
Daniel Bäckström,Centerpartiet,Värmlands län
Agneta Börjesson,Miljöpartiet,Hallands län
Johan Büser,Socialdemokraterna,Göteborgs kommun
Andreas Carlson,Kristdemokraterna,Jönköpings län
Emma Carlsson Löfdahl,Folkpartiet,Jönköpings län
Gunilla Carlsson,Socialdemokraterna,Göteborgs kommun
Ulrika Carlsson,Centerpartiet,Västra Götalands läns östra
Teresa Carvalho,Socialdemokraterna,Östergötlands län
Mikael Cederbratt,Moderaterna,Västra Götalands läns norra
Margareta Cederfelt,Moderaterna,Stockholms kommun
Fredrik Christensson,Centerpartiet,Västra Götalands läns västra
Åsa Coenraads,Moderaterna,Västmanlands län
Nooshi Dadgostar,Vänsterpartiet,Stockholms län
Mikael Dahlqvist,Socialdemokraterna,Värmlands län
Mikael Damberg,Socialdemokraterna,Stockholms län
Sofia Damm,Kristdemokraterna,Skåne läns södra
Sotiris Delis,Moderaterna,Jönköpings län
Adnan Dibrani,Socialdemokraterna,Hallands län
Rossana Dinamarca,Vänsterpartiet,Västra Götalands läns norra
Esabelle Dingizian,Miljöpartiet,Stockholms län
Dennis Dioukarev,Sverigedemokraterna,Jönköpings län
Ida Drougge,Moderaterna,Stockholms län
Christoffer Dulny,Sverigedemokraterna,Västra Götalands läns östra
Susanne Eberstein,Socialdemokraterna,Västernorrlands län
Annika Eclund,Kristdemokraterna,Västra Götalands läns östra
Lena Ek,Centerpartiet,Östergötlands län
Kent Ekeroth,Sverigedemokraterna,Skåne läns norra och östra
Hans Ekström,Socialdemokraterna,Södermanlands län
Bengt Eliasson,Folkpartiet,Hallands län
